customer_id,gender,senior_citizen,partner,dependents,tenure,age,contract,payment_method,internet_service,paperless_billing,online_security,tech_support,num_products,support_calls,monthly_charges,total_charges,churn
CUST-1058,Female,0,0,0,44,26,Month-to-Month,Bank Transfer,Fiber Optic,0,0,1,1,6,50.21,1942.01,1
CUST-1059,Male,0,0,0,34,57,Month-to-Month,Credit Card,Fiber Optic,1,1,1,2,4,93.2,3143.52,1
CUST-1060,Female,1,0,0,62,19,One Year,Mailed Check,Fiber Optic,1,0,1,4,7,105.12,6409.06,0
CUST-1061,Female,0,1,0,14,62,Month-to-Month,Electronic Check,Fiber Optic,0,0,0,4,0,87.14,1088.48,1
CUST-1062,Male,0,0,1,48,42,Month-to-Month,Mailed Check,DSL,0,1,0,2,6,100.95,4955.5,0
CUST-1063,Female,0,0,1,15,56,One Year,Credit Card,Fiber Optic,1,1,0,3,4,96.67,1348.93,0
CUST-1064,Male,0,0,0,62,26,Two Year,Electronic Check,No,0,1,1,4,3,34.97,1969.76,0
CUST-1065,Female,0,1,1,40,39,Month-to-Month,Credit Card,Fiber Optic,0,1,1,1,6,62.39,2197.29,0
CUST-1066,Male,0,1,1,53,60,Month-to-Month,Mailed Check,DSL,1,1,0,4,9,35.3,1689.86,1
CUST-1067,Male,1,0,1,24,63,Month-to-Month,Bank Transfer,No,1,0,0,1,1,43.52,892.41,0
CUST-1068,Male,1,0,1,26,21,Month-to-Month,Bank Transfer,No,1,1,1,1,0,106.93,2687.47,0
CUST-1069,Male,0,0,0,60,43,Month-to-Month,Mailed Check,DSL,1,1,1,4,0,67.29,4111.87,0
CUST-1070,Female,0,1,1,41,46,One Year,Mailed Check,DSL,0,1,1,4,0,73.54,2893.92,0
CUST-1071,Female,0,0,1,29,62,One Year,Mailed Check,Fiber Optic,0,1,1,1,4,37.84,980.88,0
CUST-1072,Female,0,1,0,15,51,One Year,Electronic Check,No,1,1,0,2,9,51.23,658.36,0
CUST-1073,Female,0,1,0,45,40,Month-to-Month,Credit Card,No,1,0,1,2,6,43.02,1728.61,1
CUST-1074,Female,0,1,0,65,54,Two Year,Credit Card,No,1,1,1,4,1,40.62,2463.99,0
CUST-1075,Male,0,0,0,71,28,Month-to-Month,Credit Card,Fiber Optic,1,0,0,3,9,83.8,5961.24,1
CUST-1076,Male,0,0,1,9,23,Month-to-Month,Mailed Check,Fiber Optic,0,1,0,2,7,45.69,364.98,1
CUST-1077,Male,0,1,0,1,35,Two Year,Credit Card,DSL,0,1,0,4,3,83.2,82.7,0
CUST-1078,Male,1,1,1,8,38,Month-to-Month,Mailed Check,DSL,1,1,1,2,2,25.85,211.64,0
CUST-1079,Male,0,1,1,63,59,Month-to-Month,Electronic Check,Fiber Optic,1,0,1,3,9,34.18,2025.84,1
CUST-1080,Female,0,1,0,11,53,Two Year,Bank Transfer,Fiber Optic,0,1,1,4,7,47.45,529.41,0
CUST-1081,Male,0,0,0,8,58,Month-to-Month,Mailed Check,Fiber Optic,0,1,1,3,1,79.7,612.69,1
CUST-1082,Male,0,0,1,35,55,One Year,Mailed Check,Fiber Optic,0,1,0,4,2,87.58,2996.08,0
CUST-1083,Female,0,1,1,35,51,Month-to-Month,Bank Transfer,DSL,0,1,0,3,2,64.27,2148.8,0
CUST-1084,Female,0,1,0,33,34,One Year,Bank Transfer,Fiber Optic,1,1,1,2,9,64.58,2008.89,0
CUST-1085,Male,0,1,0,5,54,Month-to-Month,Electronic Check,DSL,0,1,1,2,0,92.45,414.61,1
CUST-1086,Male,0,0,0,41,42,Month-to-Month,Credit Card,Fiber Optic,0,1,1,3,5,21.58,805.72,1
CUST-1087,Female,0,1,1,28,55,One Year,Mailed Check,Fiber Optic,0,0,0,3,1,54.11,1375.68,0
CUST-1088,Male,0,0,1,7,29,Month-to-Month,Credit Card,Fiber Optic,1,1,1,3,0,101.87,686.46,0
CUST-1089,Male,0,1,0,12,40,Month-to-Month,Mailed Check,No,1,1,0,4,1,80.32,842.39,0
CUST-1090,Male,1,0,1,34,59,Month-to-Month,Electronic Check,DSL,0,1,1,2,5,53.72,1887.41,1
CUST-1091,Female,0,0,0,33,39,Month-to-Month,Bank Transfer,Fiber Optic,0,0,0,4,3,110.55,3626.74,0
CUST-1092,Male,0,1,1,48,38,Month-to-Month,Electronic Check,DSL,1,0,0,2,5,97.26,4343.04,0
CUST-1093,Male,0,0,1,23,44,Month-to-Month,Bank Transfer,Fiber Optic,1,1,1,1,8,46.49,942.8,1
CUST-1094,Female,1,0,0,62,48,Two Year,Credit Card,No,0,0,0,4,9,84.53,5379.21,0
CUST-1095,Female,0,0,0,37,23,Month-to-Month,Credit Card,Fiber Optic,1,1,0,2,9,79.58,2987.91,1
CUST-1096,Female,0,0,0,44,44,Month-to-Month,Electronic Check,No,0,1,1,2,7,60.12,2630.32,0
CUST-1097,Male,0,1,1,35,57,Month-to-Month,Bank Transfer,DSL,1,0,0,4,0,56.7,1794.6,0
CUST-1098,Female,0,1,1,65,51,Month-to-Month,Electronic Check,No,0,1,1,4,7,54.36,3287.79,0
CUST-1099,Male,0,1,0,47,29,Two Year,Bank Transfer,DSL,0,0,0,2,8,81.72,3343.64,0
CUST-1100,Female,1,1,1,3,62,Month-to-Month,Bank Transfer,No,1,0,0,4,5,64.24,171.1,1
CUST-1101,Male,0,1,0,1,24,Two Year,Credit Card,DSL,0,0,0,3,9,103.19,103.87,1
CUST-1102,Female,0,0,1,5,27,Month-to-Month,Credit Card,DSL,1,1,0,4,4,86.96,431.76,0
CUST-1103,Male,0,0,0,14,62,One Year,Bank Transfer,Fiber Optic,1,1,1,4,5,26.99,366.03,0
CUST-1104,Male,0,0,1,27,34,Month-to-Month,Bank Transfer,No,1,1,1,4,5,84.02,2334.66,1
CUST-1105,Female,1,0,1,9,43,Two Year,Bank Transfer,DSL,0,1,1,2,8,47.11,409.85,1
CUST-1106,Female,0,1,1,15,38,One Year,Credit Card,Fiber Optic,0,1,0,3,3,79.28,1121.88,0
CUST-1107,Male,0,1,1,42,45,Month-to-Month,Credit Card,No,0,1,0,1,1,88.01,3393.59,1
CUST-1108,Female,0,0,0,51,63,Month-to-Month,Mailed Check,Fiber Optic,1,1,1,1,8,43.08,2280.77,1
CUST-1109,Male,0,1,1,63,19,Month-to-Month,Bank Transfer,DSL,0,0,1,3,1,65.69,3586.16,0
CUST-1110,Female,0,0,0,52,60,Two Year,Mailed Check,Fiber Optic,0,1,1,3,9,39.03,2102.98,0
CUST-1111,Female,0,0,0,4,18,Month-to-Month,Bank Transfer,Fiber Optic,0,1,1,3,8,25.23,102.47,0
CUST-1112,Male,0,1,0,23,68,Month-to-Month,Credit Card,No,0,1,0,2,1,57.85,1165.54,0
CUST-1113,Female,0,1,0,15,53,One Year,Mailed Check,Fiber Optic,1,0,1,1,7,56.29,813.11,0
CUST-1114,Female,0,1,1,43,68,Month-to-Month,Mailed Check,Fiber Optic,0,0,0,3,8,119.55,5260.48,1
CUST-1115,Male,0,1,0,29,43,Two Year,Electronic Check,No,1,0,1,2,9,64.64,1807.75,0
CUST-1116,Male,0,1,1,36,46,One Year,Bank Transfer,Fiber Optic,1,1,0,1,8,53.36,1981.35,1
CUST-1117,Female,0,1,1,13,38,One Year,Credit Card,DSL,1,0,1,4,9,78.05,1053.81,0
CUST-1118,Male,0,1,1,32,28,Two Year,Electronic Check,DSL,1,0,1,2,8,28.88,863.61,0
CUST-1119,Female,1,0,1,71,57,Month-to-Month,Electronic Check,Fiber Optic,0,1,0,1,1,116.17,7633.28,0
CUST-1120,Female,0,1,0,59,28,Month-to-Month,Bank Transfer,DSL,0,1,0,2,3,83.5,5110.08,0
CUST-1121,Male,1,0,1,28,53,Month-to-Month,Electronic Check,No,0,1,1,1,6,95.48,2633.41,1
CUST-1122,Male,1,0,0,66,66,Month-to-Month,Bank Transfer,Fiber Optic,1,0,0,1,1,37.05,2135.25,0
CUST-1123,Male,0,1,1,42,56,One Year,Electronic Check,DSL,0,1,1,4,0,60.95,2197.57,1
CUST-1124,Male,0,0,1,45,57,Two Year,Bank Transfer,Fiber Optic,1,1,0,2,2,62.27,2698.26,0
CUST-1125,Male,0,1,0,62,52,Month-to-Month,Credit Card,Fiber Optic,0,1,1,3,3,102.18,6563.44,1
CUST-1126,Male,0,0,1,57,51,Month-to-Month,Bank Transfer,No,0,1,1,4,7,20.12,1168.46,0
CUST-1127,Female,0,0,1,6,64,Two Year,Bank Transfer,No,0,1,1,4,5,50.09,296.08,0
CUST-1128,Female,0,0,1,28,41,Month-to-Month,Mailed Check,Fiber Optic,1,1,1,1,1,118.12,2903.28,1
CUST-1129,Male,0,1,1,28,39,Month-to-Month,Credit Card,Fiber Optic,0,0,1,3,8,67.49,1702.35,0
CUST-1130,Female,0,0,1,44,22,Month-to-Month,Credit Card,Fiber Optic,1,1,1,2,1,58.25,2627.34,0
CUST-1131,Female,0,0,0,30,50,Two Year,Credit Card,Fiber Optic,1,0,1,3,4,31.98,850.57,0
CUST-1132,Female,0,0,1,62,53,One Year,Electronic Check,DSL,1,0,1,3,3,117.42,6593.44,0
CUST-1133,Female,0,1,1,62,64,One Year,Mailed Check,DSL,0,1,0,3,6,22.0,1194.76,0
CUST-1134,Male,0,0,0,1,37,Two Year,Credit Card,Fiber Optic,0,0,0,3,7,93.72,92.33,0
CUST-1135,Female,0,1,1,27,36,Month-to-Month,Electronic Check,DSL,1,0,0,3,4,96.86,2716.68,1
CUST-1136,Female,0,0,0,62,52,Month-to-Month,Electronic Check,DSL,1,0,1,1,9,44.37,2486.28,0
CUST-1137,Male,1,0,1,3,69,Two Year,Electronic Check,Fiber Optic,1,1,1,1,4,87.16,247.12,1
CUST-1138,Male,0,0,1,70,60,Month-to-Month,Mailed Check,DSL,1,0,1,4,1,29.29,2002.87,0
CUST-1139,Male,0,1,0,27,34,One Year,Electronic Check,Fiber Optic,1,0,0,1,7,45.7,1295.46,0
CUST-1140,Male,0,0,1,9,62,Two Year,Mailed Check,Fiber Optic,0,0,0,4,1,98.79,774.38,0
CUST-1141,Female,0,0,1,62,60,One Year,Bank Transfer,No,0,0,0,4,9,106.47,6269.2,0
CUST-1142,Male,0,0,0,37,51,One Year,Electronic Check,Fiber Optic,0,1,0,2,5,80.85,2773.15,0
CUST-1143,Female,1,0,0,51,26,Two Year,Credit Card,DSL,1,1,0,3,7,70.68,3688.18,1
CUST-1144,Female,0,1,1,44,43,Two Year,Electronic Check,Fiber Optic,1,0,1,1,5,35.93,1494.28,0
CUST-1145,Male,1,0,0,24,19,Month-to-Month,Bank Transfer,No,0,1,0,2,3,26.31,550.74,1
CUST-1146,Male,0,0,1,59,26,Month-to-Month,Bank Transfer,No,0,1,1,1,3,31.76,1830.53,0
CUST-1147,Male,0,0,0,32,26,Month-to-Month,Electronic Check,Fiber Optic,1,0,1,4,5,42.74,1373.36,1
CUST-1148,Male,0,0,1,52,57,One Year,Bank Transfer,DSL,1,1,1,1,3,54.17,2395.94,0
CUST-1149,Male,1,1,0,62,34,Month-to-Month,Mailed Check,No,1,1,0,3,7,58.09,3680.06,0
CUST-1150,Male,0,0,0,58,18,One Year,Mailed Check,DSL,0,0,0,4,8,54.63,2811.14,1
CUST-1151,Female,0,0,0,52,42,Month-to-Month,Electronic Check,Fiber Optic,1,0,1,4,0,43.91,2192.93,0
CUST-1152,Female,0,1,0,12,60,One Year,Mailed Check,Fiber Optic,1,1,0,2,3,70.97,794.72,0
CUST-1153,Female,0,0,0,39,57,Month-to-Month,Mailed Check,DSL,1,1,0,3,3,102.53,3974.4,0
CUST-1154,Female,0,0,0,2,59,One Year,Credit Card,DSL,0,1,1,4,1,47.97,88.67,0
CUST-1155,Male,1,0,0,3,42,Month-to-Month,Electronic Check,DSL,1,1,1,3,5,114.24,350.93,1
CUST-1156,Male,0,1,0,56,56,Month-to-Month,Bank Transfer,Fiber Optic,0,0,1,1,2,107.33,5987.03,1
CUST-1157,Female,0,0,0,59,52,Month-to-Month,Electronic Check,No,1,0,1,3,6,36.18,2090.95,0
CUST-1158,Female,0,1,1,2,20,One Year,Mailed Check,DSL,1,0,1,4,4,98.63,199.08,0
CUST-1159,Female,0,1,0,2,67,Month-to-Month,Credit Card,No,0,0,0,2,3,77.46,155.04,0
CUST-1160,Male,0,1,1,54,54,Month-to-Month,Electronic Check,DSL,1,0,1,4,4,76.66,3548.45,1
CUST-1161,Male,0,1,0,1,61,Two Year,Electronic Check,Fiber Optic,0,1,0,3,7,59.1,54.9,1
CUST-1162,Male,0,1,1,19,61,One Year,Mailed Check,DSL,1,1,0,3,2,70.12,1380.46,0
CUST-1163,Female,0,1,1,2,68,Two Year,Mailed Check,No,0,0,1,4,6,59.72,104.53,1
CUST-1164,Female,1,1,0,53,47,Month-to-Month,Electronic Check,Fiber Optic,1,0,1,3,5,73.97,3910.29,0
CUST-1165,Male,1,0,0,44,55,Month-to-Month,Mailed Check,Fiber Optic,0,0,0,1,0,82.8,3806.85,1
CUST-1166,Male,0,0,1,32,51,Two Year,Mailed Check,No,0,1,1,4,6,87.43,2407.3,1
CUST-1167,Female,0,1,1,70,29,Month-to-Month,Mailed Check,Fiber Optic,1,1,0,2,6,73.25,5057.96,0
CUST-1168,Female,1,1,0,32,36,One Year,Mailed Check,No,0,1,1,4,0,92.14,2782.28,0
CUST-1169,Male,0,1,0,68,54,Month-to-Month,Mailed Check,Fiber Optic,1,0,1,1,8,34.13,2241.55,0
CUST-1170,Female,0,1,0,55,61,Month-to-Month,Credit Card,No,0,0,0,1,5,41.2,1964.78,1
CUST-1171,Male,1,1,1,56,66,Month-to-Month,Mailed Check,Fiber Optic,1,0,0,1,1,101.87,4898.08,0
CUST-1172,Male,0,1,0,17,34,Month-to-Month,Bank Transfer,DSL,1,0,1,1,4,52.25,873.48,0
CUST-1173,Female,0,0,0,38,27,Month-to-Month,Electronic Check,Fiber Optic,1,0,1,1,3,22.29,859.44,1
CUST-1174,Female,0,0,0,24,66,Month-to-Month,Credit Card,DSL,1,1,1,2,6,35.38,854.56,0
CUST-1175,Female,0,1,0,69,64,Two Year,Credit Card,Fiber Optic,0,0,0,3,7,42.36,2802.31,0
CUST-1176,Male,0,1,0,70,29,Month-to-Month,Mailed Check,Fiber Optic,1,1,1,1,0,115.73,7047.74,0
CUST-1177,Female,0,1,1,11,33,One Year,Electronic Check,Fiber Optic,1,1,1,1,4,77.3,839.76,0
CUST-1178,Female,0,0,1,16,41,Two Year,Bank Transfer,DSL,1,1,1,4,2,113.27,1628.15,0
CUST-1179,Male,0,1,0,59,36,One Year,Mailed Check,DSL,1,1,1,2,0,77.52,4721.02,0
CUST-1180,Male,0,0,0,70,25,Month-to-Month,Electronic Check,Fiber Optic,1,1,0,2,2,67.94,4839.75,0
CUST-1181,Female,0,0,1,3,48,One Year,Mailed Check,No,0,0,0,3,5,51.37,152.86,1
CUST-1182,Male,0,0,0,20,38,One Year,Mailed Check,Fiber Optic,1,0,0,2,6,80.64,1676.94,1
CUST-1183,Male,0,1,1,59,34,One Year,Mailed Check,Fiber Optic,0,0,1,4,7,33.92,1713.66,0
CUST-1184,Male,0,1,0,36,40,One Year,Mailed Check,Fiber Optic,0,1,1,4,3,109.83,3942.97,0
CUST-1185,Female,0,0,1,19,54,Two Year,Mailed Check,Fiber Optic,1,1,1,3,2,102.93,1791.49,0
CUST-1186,Female,0,0,1,67,33,One Year,Mailed Check,DSL,1,1,0,4,4,51.75,3575.47,0
CUST-1187,Male,0,0,0,19,23,Month-to-Month,Mailed Check,Fiber Optic,0,1,0,1,8,115.28,1978.59,1
CUST-1188,Male,0,0,1,20,25,One Year,Bank Transfer,DSL,0,1,0,1,5,102.52,2040.09,0
CUST-1189,Male,0,1,0,71,42,Month-to-Month,Credit Card,No,0,1,0,4,8,86.63,6307.75,0
CUST-1190,Female,0,0,1,52,35,Two Year,Bank Transfer,DSL,1,0,1,3,5,32.18,1436.3,0
CUST-1191,Male,0,1,0,33,42,Month-to-Month,Mailed Check,Fiber Optic,0,1,0,2,1,67.82,2080.34,1
CUST-1192,Male,0,0,0,40,29,Month-to-Month,Mailed Check,DSL,0,1,0,3,4,70.61,2831.35,0
CUST-1193,Female,1,1,0,39,32,Two Year,Bank Transfer,DSL,1,0,1,2,8,43.26,1587.57,0
CUST-1194,Male,0,0,1,1,43,One Year,Bank Transfer,Fiber Optic,0,1,0,4,7,28.0,25.3,0
CUST-1195,Female,0,1,0,11,58,Month-to-Month,Credit Card,DSL,1,0,1,4,6,97.67,960.44,1
CUST-1196,Female,0,1,0,57,62,Month-to-Month,Bank Transfer,DSL,0,0,1,1,0,32.2,1608.37,0
CUST-1197,Female,0,1,0,50,43,Two Year,Credit Card,Fiber Optic,1,0,1,2,3,79.43,4056.59,0
CUST-1198,Male,1,0,1,23,64,Month-to-Month,Mailed Check,DSL,0,1,1,3,6,113.64,2522.43,1
CUST-1199,Male,0,1,0,31,49,Two Year,Electronic Check,DSL,1,0,1,4,6,107.61,2886.49,0
CUST-1200,Female,0,0,1,42,27,Month-to-Month,Electronic Check,No,1,0,0,3,5,47.78,1859.3,0
CUST-1201,Male,0,1,1,7,33,One Year,Electronic Check,Fiber Optic,0,1,0,1,7,105.14,679.71,0
CUST-1202,Female,0,1,1,16,24,Two Year,Electronic Check,No,1,0,1,2,5,20.03,284.06,1
CUST-1203,Male,0,0,0,60,34,Month-to-Month,Mailed Check,No,0,1,0,2,9,21.77,1224.04,1
CUST-1204,Female,0,1,0,2,40,Month-to-Month,Electronic Check,Fiber Optic,1,1,1,4,2,80.26,147.1,1
CUST-1205,Female,0,1,1,1,43,Month-to-Month,Bank Transfer,DSL,1,0,0,2,3,56.48,51.87,1
CUST-1206,Male,0,0,0,48,38,One Year,Bank Transfer,Fiber Optic,1,1,0,4,2,58.65,2809.02,0
CUST-1207,Male,0,1,0,12,39,Month-to-Month,Electronic Check,No,1,1,0,1,0,76.44,820.65,0
CUST-1208,Male,0,1,1,69,24,One Year,Bank Transfer,Fiber Optic,1,0,0,2,9,39.18,2644.95,0
CUST-1209,Male,0,1,1,37,31,Month-to-Month,Credit Card,Fiber Optic,1,0,0,4,4,41.18,1469.01,0
CUST-1210,Female,0,1,0,32,32,Month-to-Month,Mailed Check,DSL,1,0,0,3,0,68.46,2111.02,0
CUST-1211,Female,0,0,1,9,24,Month-to-Month,Electronic Check,No,0,0,0,4,0,95.43,843.93,1
CUST-1212,Male,0,1,0,19,26,Month-to-Month,Electronic Check,Fiber Optic,0,1,1,2,1,81.95,1494.26,1
CUST-1213,Male,0,1,1,48,68,One Year,Mailed Check,No,1,0,1,1,3,49.74,2449.24,0
CUST-1214,Female,1,1,0,3,65,Two Year,Bank Transfer,DSL,1,0,1,2,5,63.03,186.28,0
CUST-1215,Male,0,1,0,20,25,One Year,Mailed Check,DSL,1,0,0,2,7,37.07,711.29,0
CUST-1216,Male,1,1,1,24,67,Month-to-Month,Mailed Check,DSL,0,1,0,4,2,27.46,669.55,1
CUST-1217,Male,0,1,0,54,40,Two Year,Bank Transfer,Fiber Optic,1,1,1,3,0,98.27,5153.91,0
CUST-1218,Male,0,1,0,33,46,One Year,Mailed Check,DSL,0,1,1,2,2,46.54,1394.88,0
CUST-1219,Female,0,1,1,24,35,Two Year,Bank Transfer,DSL,1,1,0,3,2,37.78,808.27,0
CUST-1220,Female,0,0,0,36,48,Month-to-Month,Bank Transfer,No,1,1,1,4,4,89.16,2826.08,0
CUST-1221,Male,0,0,0,38,47,Month-to-Month,Mailed Check,DSL,1,0,1,3,3,81.81,3201.7,1
CUST-1222,Female,0,0,0,25,69,Month-to-Month,Credit Card,No,1,1,1,4,3,83.32,2066.39,0
CUST-1223,Male,0,0,1,18,56,One Year,Bank Transfer,Fiber Optic,1,1,1,1,8,42.89,800.95,0
CUST-1224,Male,0,1,1,66,52,Month-to-Month,Mailed Check,No,0,1,0,3,6,43.26,2771.38,0
CUST-1225,Male,0,1,1,54,35,Month-to-Month,Bank Transfer,Fiber Optic,1,0,1,3,3,42.08,2146.62,0
CUST-1226,Female,0,0,1,35,59,Month-to-Month,Credit Card,No,0,0,1,1,2,37.38,1127.68,1
CUST-1227,Female,0,0,1,61,56,One Year,Credit Card,No,0,1,1,3,5,85.57,5137.97,0
CUST-1228,Female,0,0,0,41,34,One Year,Electronic Check,DSL,1,0,1,1,2,104.8,4152.61,0
CUST-1229,Female,0,1,0,33,31,Month-to-Month,Bank Transfer,DSL,1,1,0,2,5,92.43,3196.73,1
CUST-1230,Female,0,1,0,68,48,Month-to-Month,Bank Transfer,DSL,1,0,1,4,8,99.21,6057.02,0
CUST-1231,Male,0,0,1,33,41,One Year,Mailed Check,Fiber Optic,0,0,1,1,5,60.48,1908.32,0
